Erläuterungen;Planungsstelle;Produkt;Maßnahme;Sachkonto;Bezeichnung;Budget;Deckungskreis;Deckungsschlüssel;bewirtschaftende Dienststelle;anordnende Dienststelle;Investitionskennzeichen;Dotierkreis;Ansatz aktuell;Aktuelles Soll;ansatz vorjahr;Soll Vorjahr;Rg Erg vorvorjahr;RG Vorjahr;RG Aktuell;Planjahr+1;Planjahr+2;Planjahr+3;VE aktuell
Nein;1.1.1.0.442590;1.1.1.0;0;442590;Kostenerstattungen vom sonstigen privaten Bereich;1.1;0;0;;;0;11;0;0;0;191;0;191;0;0;0;0;0
Nein;1.1.1.0.466140;1.1.1.0;0;466140;Ertrag aus der Auflösung  von Rückstellungen;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.466141;1.1.1.0;0;466141;Aufl. Pensions+Beih. Rückstell;1.1;0;0;;;0;80;60.200;0;4.710;0;91.441,68;0;0;60.200;60.200;60.200;0
Nein;1.1.1.0.466142;1.1.1.0;0;466142;Erträge a.d. Aufl. RS ATZ Beam;1.1;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0
Nein;1.1.1.0.501200;1.1.1.0;0;501200;Beigeordnete ;1.1;1500000;1;0,00;0,00;0;60;5.400;0;5.000;6.791,75;3.195,68;0;0;5.510;5.630;5.750;0
Nein;1.1.1.0.502110;1.1.1.0;0;502110;Bezüge der Beamten;1.1;1500000;1;0,00;0,00;0,00;60;187.500;0;186.240;156.819,84;367.895,40;44.744,71;0;191.250;195.080;198.990;0
Nein;1.1.1.0.502210;1.1.1.0;0;502210;Dienstbezüge der Arbeitnehmer;1.1;1500000;1;;;0,00;60;38.100;0;34.350;27.398,81;37.658,51;7.659,17;0;38.870;39.650;40.450;0
Nein;1.1.1.0.502220;1.1.1.0;0;502220;Leistungszulagen der AN;1.1;1500000;1;;;0;60;0;0;0;379,24;1.142,78;0;0;0;0;0;0
Nein;1.1.1.0.503200;1.1.1.0;0;503200;Arbeitnehmer Beiträge zur Versorgungskasse;1.1;1500000;1;0,00;0,00;0;60;3.000;0;2.660;2.152,78;2.978,22;593,57;0;3.060;3.130;3.200;0
Nein;1.1.1.0.504200;1.1.1.0;0;504200;Arbeitnehmer Arbeitgeberanteil an der gesetzlichen Sozialversicherung;1.1;1500000;1;0,00;0,00;0,00;60;7.900;0;7.130;5.749,88;8.022,67;1.584,12;0;8.060;8.230;8.400;0
